swaps_id,swaps_transaction_timestamp,swaps_logIndex,swaps_pair_id,swaps_pair_token0_symbol,swaps_pair_token0_decimals,swaps_pair_token1_symbol,swaps_pair_token1_decimals,swaps_amount0In,swaps_amount1Out,swaps_amountUSD,dateTime,calDate
0xedf21af8db6d4e70a40377cf80fe1fd6fb52abbc4cf2ce53188773743fbf8b17-0,1677014699,110,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,327.958667079,3462.2724147507147,3462.2724147507147,2023-02-21 21:24:59,2023-02-22
0xfec262ce50b0db3cdcb3d6d4af6fcd1ac0eb2b91683571cf443f7ae6fe6e346d-0,1676968811,101,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,274.359923236,2940.734218567897,2940.734218567897,2023-02-21 08:40:11,2023-02-22
0xd4f1c446c78a12f8329cc4bb38416169470f15ea200f3cfb3b118df86a9c5e4f-0,1676583755,367,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,353.728337688,3786.8076943441997,3786.8076943441997,2023-02-16 21:42:35,2023-02-21
0x9d153005d579b05e979c41eb8b32460f5d0d4f59be1aba094dab786f543d6f23-0,1676336387,71,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,113.237461872,1176.5296536263354,1176.5296536263354,2023-02-14 00:59:47,2023-02-21
0xdd856a3728d592f141bbf37751719f33461b179f36e3e5e6f8403076d4f072d7-0,1675983923,63,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,204.937387719,2090.229189031845,2090.229189031845,2023-02-09 23:05:23,2023-02-19
0x4abc297bc4747083f54f7c15456f14e3554de75d8438a5036655a142d7d4c7c4-0,1675969247,168,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,25.0,250.7089310847774,250.7089310847774,2023-02-09 19:00:47,2023-02-19
0xfd43ee3ac2c5341d22187cc38b9248cc3a5e81d9348dc2e4b3ef13d90119334e-0,1675335575,44,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,217.807970898,2204.726665875026,2204.726665875026,2023-02-02 10:59:35,2023-02-19
0xebd8ef87a63bff70b582d36c62c5f8f588510d0f523283821c19dc92a0104dc4-0,1675335575,49,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,573.0,5695.312692251263,5695.312692251263,2023-02-02 10:59:35,2023-02-19
0x9a8275200bc30e7a3b376871be1b241fe32b715d698cec7b48a393e79e786237-0,1675079759,43,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,140.700469948,1382.8262640674632,1382.8262640674632,2023-01-30 11:55:59,2023-02-18
0xf93e80fbbb8ca7d151cfb40db74cc5c401f991ce4c64418b7daa8b81c8183ecf-0,1675069415,99,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,210.92775315,2084.472762617706,2084.472762617706,2023-01-30 09:03:35,2023-02-18
0xfbbc77be352eccf643293b9addcfa5351a6111b075b5c16af4b83575629694ba-0,1675051715,5,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,535.2381,5205.463704276522,5205.463704276522,2023-01-30 04:08:35,2023-02-17
0x697b76ea23cc081e148c09815587812e5c48bad504533034b2c67dca442e051b-0,1675051295,69,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,387.0063,3795.481232710346,3795.481232710346,2023-01-30 04:01:35,2023-02-17
0xad1943fb1ba025ab693f546ad870e4891221d4f24aec7cc6dc68420013e1a5ba-0,1674766043,131,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,128.724,1272.6298346505416,1272.6298346505416,2023-01-26 20:47:23,2023-02-16
0xc5552a13e631de21413cf4bcaf916fd64b45a722d8964f799bcbfc50a0225287-0,1674684875,318,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,154.0,1524.4652724691002,1524.4652724691002,2023-01-25 22:14:35,2023-02-15
0x64b535bd1fbdbaa0f5b95507e2f8a234811d0c7da8fcfa582701a37cd8bb3343-0,1674509267,36,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,330.735771283,3247.443039333137,3247.443039333137,2023-01-23 21:27:47,2023-02-15
0x5ea6c0090e0ef08db665f90fc9601f303eb0e7eba883f34c16928677b55ad3ea-0,1674427103,101,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,146.589563767,1450.1152334837,1450.1152334837,2023-01-22 22:38:23,2023-02-15
0x9327acbb24adf3034fb8f8891aa25f8f5a520fa885315edc1c4bfade7c5c43bd-0,1674425339,156,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,134.342611211,1334.834941365288,1334.834941365288,2023-01-22 22:08:59,2023-02-15
0x3733d67dad652e3a7efe10a7092386311142ec23a0a77c293a4b32ca355188ed-0,1674424883,12,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,168.071119783,1677.8937783762992,1677.8937783762992,2023-01-22 22:01:23,2023-02-15
0x76b93cc74424fd66197a5d7d7218ca41bbe190073fd6fed3bfb52a8c0c65eeb1-0,1674376499,43,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,143.148999177,1428.599156021502,1428.599156021502,2023-01-22 08:34:59,2023-02-15
0x2caf4c32cf8c493c5276cd5a33df38fe15eb6ed98d0f13317d262a2aae51c00e-0,1674347603,54,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,175.273034696,1757.9602573918694,1757.9602573918694,2023-01-22 00:33:23,2023-02-15
0x7517c6217d0c093f47133b05369e0c65c5c8324b98c5cabe43c8da3993056e11-0,1674307727,17,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,270.188401628,2687.2968307637234,2687.2968307637234,2023-01-21 13:28:47,2023-02-14
0xf66ff77b54b8b10f92c72766b9e8a6c78be7212eabedb09a2f7bbf7288881fe6-0,1674298931,66,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,207.328286921,2077.2322295384743,2077.2322295384743,2023-01-21 11:02:11,2023-02-14
0xff394a1a3f4e1aba4777f60b858b6076c269aeb28dbe9f29d4965edb03c09a08-0,1673924291,79,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,1412.74081116,14162.198114099578,14162.198114099578,2023-01-17 02:58:11,2023-02-14
0x9ca6c27bdae0613421ce92ea199ac2bff50f0c524a8f45d691c004357b8a6383-0,1673924291,37,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,217.608878805,2267.2584683277664,2267.2584683277664,2023-01-17 02:58:11,2023-02-14
0x1f9f4ca0c567db2f6beba7d0aeba6837403f8662c9d54e8841635222ca1847fc-0,1673311343,309,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,179.838065278,1746.66734207644,1746.66734207644,2023-01-10 00:42:23,2023-02-13
0xff0b392fae138c50395b08f22e0197a7311b1be1579fedcdc79a72edcac9c0bf-0,1673249663,13,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,130.109976844,1272.4335736575724,1272.4335736575724,2023-01-09 07:34:23,2023-02-13
0x392d4a0dea2c10b0fb7b74085dd1465153bc06872a5990d8769f0a19fa769336-0,1673230463,33,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,279.286579822,2743.311728846712,2743.311728846712,2023-01-09 02:14:23,2023-02-13
0x090bf6c83cbfb550e507a164c55f67d85114fc4f67ed780fa28b8d698dcde65b-0,1672108235,246,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,243.78130616,2340.997971428642,2340.997971428642,2022-12-27 02:30:35,2023-02-12
0xa7427d41fcee8bc04365936f30e2ff247af4dcc316b0f19737e6c655cd3ec549-0,1671748043,97,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,126.040704491,1220.1817750703653,1220.1817750703653,2022-12-22 22:27:23,2023-02-12
0x5af96f926ec50201d859b0009288577241bdc904c4b703dae645629bac574be2-0,1671744359,19,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,391.425370415,3826.8401578225116,3826.8401578225116,2022-12-22 21:25:59,2023-02-12
0x00bbed1ae1c6e39c7821ab42e4aba00b4362066b16be7bf8e7e96525805407bf-0,1671742427,34,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,49.986345111,492.6032188875677,492.6032188875677,2022-12-22 20:53:47,2023-02-11
0x6bf45200da96e75e5bbb0a5fbc7696ea0718c5c2f104a2f2605a6d041dcdd0eb-0,1671716627,8,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,634.109898547,5999.9465000064965,5999.9465000064965,2022-12-22 13:43:47,2023-02-10
0xa2d58f40889d07f43453e2c8c5176e16d4294c6b447921fe5abe2891d391802e-0,1671659351,34,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,5.486502228,52.50458764875066,52.50458764875066,2022-12-21 21:49:11,2023-02-10
0x534135d7c41d72e8177e3e790d087e7ed7133e7a4f9758a59e981c091ed67b77-0,1671658007,87,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,22.857718667,218.65845538864656,218.65845538864656,2022-12-21 21:26:47,2023-02-09
0xc10d128289d78c6eaf211d445b321687578bb559db4d68c4a1e0f4c1e170483b-0,1671595355,9,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,324.732971121,3125.814895743626,3125.814895743626,2022-12-21 04:02:35,2023-02-09
0x0bcd11ea21d8fd860278142395708109fd6b704bd71900bd8af27f45b2d3d8fc-0,1671469307,35,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,148.773332969,1427.8280759955205,1427.8280759955205,2022-12-19 17:01:47,2023-02-09
0x14aba47db77166ab94c900acbe2ecebb75f072b85bd1948942f2f9bdd6c06b1c-0,1671419219,380,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,124.001341912,1195.9245581875716,1195.9245581875716,2022-12-19 03:06:59,2023-02-09
0x8dc7538e4fad436152ade1823478c4b6527a2f227f6a21eb3e17990efde777d0-0,1671295619,77,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,57.840644349,555.0971871143712,555.0971871143712,2022-12-17 16:46:59,2023-02-09
0xcc8b499cc5d21598b945ecb73cee80ce24f320cf1289b3d044d3350b5fe07c39-0,1671181343,320,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,462.123140792,4387.447638647942,4387.447638647942,2022-12-16 09:02:23,2023-02-07
0xa255faf261ccec491056244fb3297ef2a4643c4fd466a0ccc0866b20acb50a3d-0,1671068927,389,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,245.238315931,2338.6365656822845,2338.6365656822845,2022-12-15 01:48:47,2023-02-06
0x93221a5bd5ad25903adf7d44f408be8b868c4d69d428b98be1aed93d9a548d54-0,1670964179,57,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,145.8183,1385.1957364142393,1385.1957364142393,2022-12-13 20:42:59,2023-02-04
0xf11c35dca235a0295fd9ec694f454d8573b4a9f676ab868cf4343eba5b2236bb-0,1670953883,17,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,395.137147407,3787.1067372942366,3787.1067372942366,2022-12-13 17:51:23,2023-02-04
0x5f0c4e2a713bcd04526d13b0aa9878f99e6a1daf304a819f2360f391eae8da69-0,1670948075,31,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,118.732942413,1147.8740205016022,1147.8740205016022,2022-12-13 16:14:35,2023-02-04
0xdf652d44a7464ff988f7d2b5c50971e00c0677ab776605df1ba8f02dd920b98d-0,1670942699,46,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,218.698754111,2126.2988226718035,2126.2988226718035,2022-12-13 14:44:59,2023-02-04
0xbd4582544fc1076292b8434ee7181162918b798a830bfa20aa5bde0e889395b8-0,1670940887,26,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,333.266806054,3270.400472050058,3270.400472050058,2022-12-13 14:14:47,2023-02-03
0x1144c0b12bf8b724116eee32b4382c845d31833d60515a05afaceb81657d9f38-0,1670914199,56,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,154.326674209,1486.2137238916207,1486.2137238916207,2022-12-13 06:49:59,2023-02-03
